"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","pjtn_24H_pjtn_max_value","pjtn_24H_pjtn_min_value","pjtn_24H_pjtn_median_value","pjtn_24H_pjtn_average_value","pjtn_24H_pjtn_event_count","pjtn_24H_pjtn_event_max_value","pjtn_24H_pjtn_event_median_value","pjtn_24H_pjtn_event_average_value","pjtn_12H_pjtn_max_value","pjtn_12H_pjtn_min_value","pjtn_12H_pjtn_median_value","pjtn_12H_pjtn_average_value","pjtn_12H_pjtn_event_count","pjtn_12H_pjtn_event_max_value","pjtn_12H_pjtn_event_median_value","pjtn_12H_pjtn_event_average_value","pjtn_6H_pjtn_max_value","pjtn_6H_pjtn_min_value","pjtn_6H_pjtn_median_value","pjtn_6H_pjtn_average_value","pjtn_6H_pjtn_event_count","pjtn_6H_pjtn_event_max_value","pjtn_6H_pjtn_event_median_value","pjtn_6H_pjtn_event_average_value","pjtn_2H_pjtn_max_value","pjtn_2H_pjtn_min_value","pjtn_2H_pjtn_median_value","pjtn_2H_pjtn_average_value","pjtn_2H_pjtn_event_count","pjtn_2H_pjtn_event_max_value","pjtn_2H_pjtn_event_median_value","pjtn_2H_pjtn_event_average_value","pjtn_1H_pjtn_max_value","pjtn_1H_pjtn_min_value","pjtn_1H_pjtn_median_value","pjtn_1H_pjtn_average_value","pjtn_1H_pjtn_event_count","pjtn_1H_pjtn_event_max_value","pjtn_1H_pjtn_event_median_value","pjtn_1H_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","sigma_24H_sigma_max_value","sigma_24H_sigma_min_value","sigma_24H_sigma_median_value","sigma_24H_sigma_average_value","sigma_24H_sigma_event_count","sigma_24H_sigma_event_max_value","sigma_24H_sigma_event_median_value","sigma_24H_sigma_event_average_value","sigma_12H_sigma_max_value","sigma_12H_sigma_min_value","sigma_12H_sigma_median_value","sigma_12H_sigma_average_value","sigma_12H_sigma_event_count","sigma_12H_sigma_event_max_value","sigma_12H_sigma_event_median_value","sigma_12H_sigma_event_average_value","sigma_6H_sigma_max_value","sigma_6H_sigma_min_value","sigma_6H_sigma_median_value","sigma_6H_sigma_average_value","sigma_6H_sigma_event_count","sigma_6H_sigma_event_max_value","sigma_6H_sigma_event_median_value","sigma_6H_sigma_event_average_value","sigma_2H_sigma_max_value","sigma_2H_sigma_min_value","sigma_2H_sigma_median_value","sigma_2H_sigma_average_value","sigma_2H_sigma_event_count","sigma_2H_sigma_event_max_value","sigma_2H_sigma_event_median_value","sigma_2H_sigma_event_average_value","sigma_1H_sigma_max_value","sigma_1H_sigma_min_value","sigma_1H_sigma_median_value","sigma_1H_sigma_average_value","sigma_1H_sigma_event_count","sigma_1H_sigma_event_max_value","sigma_1H_sigma_event_median_value","sigma_1H_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","thy_resv_24H_thy_resv_median_value","thy_resv_24H_thy_resv_average_value","thy_resv_24H_thy_resv_high_var","thy_resv_12H_thy_resv_median_value","thy_resv_12H_thy_resv_average_value","thy_resv_12H_thy_resv_high_var","thy_resv_6H_thy_resv_median_value","thy_resv_6H_thy_resv_average_value","thy_resv_6H_thy_resv_high_var","thy_resv_2H_thy_resv_median_value","thy_resv_2H_thy_resv_average_value","thy_resv_2H_thy_resv_high_var","thy_resv_1H_thy_resv_median_value","thy_resv_1H_thy_resv_average_value","thy_resv_1H_thy_resv_high_var","swrd_yesterday_swrd_trip_count","swrd_24H_swrd_trip_count","swrd_12H_swrd_trip_count","swrd_6H_swrd_trip_count","swrd_2H_swrd_trip_count","swrd_1H_swrd_trip_count","temp_yesterday_temp_max_value","temp_yesterday_temp_min_value","temp_yesterday_temp_median_value","temp_yesterday_temp_average_value","temp_24H_temp_max_value","temp_24H_temp_min_value","temp_24H_temp_median_value","temp_24H_temp_average_value","temp_12H_temp_max_value","temp_12H_temp_min_value","temp_12H_temp_median_value","temp_12H_temp_average_value","temp_6H_temp_max_value","temp_6H_temp_min_value","temp_6H_temp_median_value","temp_6H_temp_average_value","temp_2H_temp_max_value","temp_2H_temp_min_value","temp_2H_temp_median_value","temp_2H_temp_average_value","temp_1H_temp_max_value","temp_1H_temp_min_value","temp_1H_temp_median_value","temp_1H_temp_average_value","jitter"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.273774,0.100361,0.193208,0.158931735661765,136,0.273774,0.193208,0.197331198529412,0.273774,0.100361,0.1914255,0.156711573484848,66,0.273774,0.1914255,0.197492636363636,0.244025,0.100586,0.190626,0.153235802380952,21,0.244025,0.190626,0.189536380952381,0.220567,0.100586,0.191512,0.153664454545455,11,0.220567,0.191512,0.192121727272727,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,7,2,4,4,7,2,4,4,7,2,5,5,7,5,6,6,5,5,5,5,5,5,5,5,1
"2",NA,NA,NA,NA,NA,NA,NA,NA,1.54934,0.0439453,0.600941,0.37919124688539,24,1.54934,0.559322,0.646479833333333,1.54934,0.0439453,0.600941,0.37919124688539,24,1.54934,0.559322,0.646479833333333,1.54934,0.0439453,0.600941,0.37919124688539,24,1.54934,0.559322,0.646479833333333,1.54934,0.0439453,0.600941,0.37919124688539,24,1.54934,0.559322,0.646479833333333,1.54934,0.0439453,0.599334,0.381102207866264,22,1.54934,0.562775,0.656649090909091,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.277947,0.100361,0.193521,0.160297196794872,234,0.277947,0.193521,0.197568094017094,0.273774,0.100361,0.191114,0.157697454779412,136,0.273774,0.191114,0.195379588235294,0.273774,0.100586,0.187561,0.155319758333333,66,0.273774,0.187561,0.192033909090909,0.220567,0.100586,0.1840945,0.151342718181818,22,0.220567,0.1840945,0.182563545454545,0.189774,0.101311,0.176756,0.149020981818182,11,0.189774,0.176756,0.173005363636364,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,7,2,4,4,7,2,4,4,7,3,5,5,7,5,5,6,5,5,5,5,5,5,5,5,1
"3",NA,NA,NA,NA,NA,NA,NA,NA,1.54934,0.0439453,0.599334,0.365497818108045,48,1.54934,0.5461965,0.592057916666667,1.54934,0.0439453,0.599334,0.365497818108045,48,1.54934,0.5461965,0.592057916666667,1.54934,0.0439453,0.599334,0.365497818108045,48,1.54934,0.5461965,0.592057916666667,1.54934,0.0439453,0.585474,0.363631440698925,46,1.54934,0.552384,0.594555304347826,1.04549,0.138967,0.583,0.351152588550513,24,0.612087,0.519965,0.537636,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.316803,0.100361,0.19317,0.160033874489796,245,0.316803,0.19317,0.197460065306122,0.316803,0.100361,0.190103,0.157027610740741,135,0.316803,0.190103,0.194483762962963,0.316803,0.100586,0.1858295,0.154704978030303,66,0.316803,0.1858295,0.190919075757576,0.316803,0.101311,0.1793155,0.151726636363636,22,0.316803,0.1793155,0.184083681818182,0.316803,0.107931,0.186073,0.154432290909091,11,0.316803,0.186073,0.195162,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,7,2,4,4,7,2,4,4,7,3,5,5,7,4,5,5,5,4,5,5,5,4,4,5,1
"4",NA,NA,NA,NA,NA,NA,NA,NA,1.54934,0.0439453,0.600943,0.361453130550099,72,1.54934,0.5541265,0.586987763888889,1.54934,0.0439453,0.600943,0.361453130550099,72,1.54934,0.5541265,0.586987763888889,1.54934,0.0439453,0.600943,0.361453130550099,72,1.54934,0.5541265,0.586987763888889,1.04549,0.138967,0.5952655,0.352074355801942,48,0.873396,0.525497,0.557241729166667,1.04549,0.138967,0.616794,0.35323111491867,24,0.873396,0.5812825,0.576847458333333,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.316803,0.100361,0.193208,0.159904030664063,256,0.316803,0.193208,0.19734765625,0.316803,0.100361,0.18978,0.15569425858209,134,0.316803,0.18978,0.193001313432836,0.316803,0.100586,0.1856215,0.153883724242424,66,0.316803,0.1856215,0.189102727272727,0.316803,0.107517,0.1894435,0.155722172727273,22,0.316803,0.1894435,0.195003,0.242632,0.107517,0.194689,0.157012054545455,11,0.242632,0.194689,0.194844,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,7,2,4,4,7,2,4,4,7,4,5,5,7,4,5,5,5,4,4,4,4,4,4,4,1
"5",NA,NA,NA,NA,NA,NA,NA,NA,1.54934,0.0439453,0.6001385,0.359295608513629,96,1.54934,0.552384,0.594879302083333,1.54934,0.0439453,0.6001385,0.359295608513629,96,1.54934,0.552384,0.594879302083333,1.54934,0.0439453,0.6001385,0.359295608513629,96,1.54934,0.552384,0.594879302083333,1.04549,0.138967,0.6104995,0.352811326457798,48,1.04549,0.5541265,0.5977006875,1.04549,0.14575,0.571289,0.352465909417151,24,1.04549,0.545301,0.618553916666667,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.316803,0.100361,0.192492,0.159823164981273,267,0.316803,0.192492,0.197017205992509,0.316803,0.100361,0.189774,0.155942831954887,133,0.316803,0.189774,0.192918541353383,0.316803,0.100586,0.185231,0.154160363846154,65,0.316803,0.185231,0.188553584615385,0.242632,0.107517,0.1898295,0.157476627272727,22,0.242632,0.1898295,0.192085363636364,0.216881,0.109047,0.181382,0.1579412,11,0.216881,0.181382,0.189326727272727,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,7,2,4,4,7,2,4,4,7,4,5,5,5,4,5,5,4,4,4,4,4,4,4,4,1
"6",NA,NA,NA,NA,NA,NA,NA,NA,1.54934,0.0439453,0.600943,0.361053529161868,120,1.54934,0.552384,0.590523291666667,1.54934,0.0439453,0.600943,0.361053529161868,120,1.54934,0.552384,0.590523291666667,1.54934,0.0439453,0.600943,0.361053529161868,120,1.54934,0.552384,0.590523291666667,1.04549,0.14575,0.607336,0.360656107605522,48,1.04549,0.545301,0.595826583333333,0.703125,0.14575,0.615234,0.368381859462375,24,0.703125,0.5444025,0.57309925,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.316803,0.100361,0.193208,0.159782334742647,272,0.316803,0.193208,0.197187996323529,0.316803,0.100361,0.189599,0.155997217175573,131,0.316803,0.189599,0.192968832061069,0.316803,0.100586,0.185238,0.154789833846154,65,0.316803,0.185238,0.189011553846154,0.241522,0.109047,0.184593,0.157424361904762,21,0.241522,0.184593,0.189489857142857,0.241522,0.112262,0.1907175,0.15685584,10,0.241522,0.1907175,0.1896693,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,7,2,4,4,7,2,4,4,7,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,1
"7",NA,NA,NA,NA,NA,NA,NA,NA,1.54934,0,0.602548,0.3593863146244,142,1.54934,0.552384,0.588877232394366,1.54934,0,0.602548,0.3593863146244,142,1.54934,0.552384,0.588877232394366,1.54934,0,0.602548,0.358454364530215,140,1.54934,0.552384,0.589652364285714,0.703125,0,0.619133,0.359324440625021,46,0.703125,0.552384,0.576351173913043,0.673669,0,0.62458,0.35058985985195,22,0.673669,0.552384,0.579898727272727,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.316803,0.100361,0.193246,0.159913345571956,271,0.316803,0.193246,0.197614977859779,0.316803,0.100361,0.1894435,0.156664037307692,130,0.316803,0.1894435,0.194491584615385,0.316803,0.101311,0.185517,0.156615015625,64,0.316803,0.185517,0.19139675,0.263986,0.105638,0.1976015,0.16104446,20,0.263986,0.1976015,0.19868365,0.263986,0.105638,0.2034495,0.16523308,10,0.263986,0.2034495,0.207698,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,7,2,4,4,7,2,4,4,7,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,1
"8",NA,NA,NA,NA,NA,NA,NA,NA,1.54934,0,0.600943,0.353065956841937,166,1.54934,0.547115,0.576848843373494,1.54934,0,0.600943,0.353065956841937,166,1.54934,0.547115,0.576848843373494,1.04549,0,0.597721,0.348153529593788,142,1.04549,0.5417825,0.565080225352113,0.673669,0,0.596103,0.331538606518663,46,0.673669,0.545347,0.541176369565217,0.602548,0,0.510598,0.311388750207406,24,0.602548,0.5067875,0.505680875,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.316803,0.100361,0.1941565,0.160221354259259,270,0.316803,0.1941565,0.198349437037037,0.316803,0.100586,0.189599,0.157698451550388,129,0.316803,0.189599,0.194497720930233,0.316803,0.105638,0.190675,0.160013284375,64,0.316803,0.190675,0.196989171875,0.263986,0.105638,0.208538,0.167097657142857,21,0.263986,0.208538,0.206569238095238,0.236734,0.114964,0.20882,0.168792727272727,11,0.236734,0.20882,0.205543090909091,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,7,2,4,4,7,2,4,4,7,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,1
"9",NA,NA,NA,NA,NA,NA,NA,NA,1.54934,0,0.584654,0.34182536901041,190,1.54934,0.536421,0.559846484210526,1.54934,0,0.584654,0.34182536901041,190,1.54934,0.536421,0.559846484210526,1.04549,0,0.564446,0.333124295780853,142,1.04549,0.534618,0.548958112676056,0.629201,0,0.510598,0.285450065538826,47,0.602548,0.454574,0.472445063829787,0.629201,0.124296,0.462993,0.264874685665565,24,0.523669,0.4215025,0.442246833333333,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.316803,0.100361,0.195642,0.161515874723247,271,0.316803,0.195642,0.199613649446494,0.316803,0.100586,0.190626,0.16019317519084,131,0.316803,0.190626,0.195978671755725,0.280538,0.105638,0.200438,0.165765806153846,65,0.280538,0.200438,0.201116107692308,0.280538,0.114964,0.212837,0.177800104347826,23,0.280538,0.212837,0.211869391304348,0.280538,0.132702,0.214856,0.186056866666667,12,0.280538,0.214856,0.2176685,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,7,2,4,4,7,2,4,4,7,3,4,5,4,3,4,4,4,3,4,4,4,3,3,4,1
"10",NA,NA,NA,NA,NA,NA,NA,NA,1.54934,0,0.572977,0.336465094522246,214,1.54934,0.534618,0.552584757009346,1.54934,0,0.572977,0.336465094522246,214,1.54934,0.534618,0.552584757009346,1.04549,0,0.547115,0.322868701450677,142,1.04549,0.5264265,0.535140978873239,0.629201,0.124296,0.495239,0.279273650875809,48,0.629201,0.464033,0.468671458333333,0.629201,0.131836,0.495239,0.293426760819743,24,0.629201,0.4903155,0.495096083333333,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.316803,0.100361,0.196571,0.162862627490775,271,0.316803,0.196571,0.20051432103321,0.316803,0.100586,0.1916275,0.16312263030303,132,0.316803,0.1916275,0.197867689393939,0.280538,0.105638,0.2078275,0.172361536363636,66,0.280538,0.2078275,0.206632651515152,0.280538,0.132702,0.220633,0.190037458333333,24,0.280538,0.220633,0.221688083333333,0.255983,0.134644,0.2288745,0.19401805,12,0.255983,0.2288745,0.225707666666667,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,7,2,4,4,7,2,4,4,7,3,4,4,4,3,4,4,4,3,3,3,3,3,3,3,1
"11",NA,NA,NA,NA,NA,NA,NA,NA,1.54934,0,0.572133,0.333957966626854,238,1.54934,0.529172,0.549327735294118,1.54934,0,0.572133,0.333957966626854,238,1.54934,0.529172,0.549327735294118,0.703125,0,0.538218,0.315591605751993,142,0.703125,0.514367,0.518532309859155,0.629201,0.131836,0.5124825,0.30257219818101,48,0.629201,0.495239,0.507691020833333,0.626124,0.14575,0.545347,0.311214946536031,24,0.596103,0.5029185,0.520285958333333,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.316803,0.100361,0.1966585,0.163686517962963,270,0.316803,0.1966585,0.20030522962963,0.316803,0.100586,0.195942,0.166050061450382,131,0.316803,0.195942,0.199901458015267,0.280538,0.105638,0.2088345,0.177759612121212,66,0.280538,0.2088345,0.211077393939394,0.272386,0.134644,0.220049,0.192254034782609,23,0.272386,0.220049,0.221062565217391,0.272386,0.139096,0.203781,0.190329654545455,11,0.272386,0.203781,0.215995181818182,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,7,2,4,4,7,2,4,4,5,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,1
"12",NA,NA,NA,NA,NA,NA,NA,NA,1.54934,0,0.557603,0.329590652985245,261,1.54934,0.523669,0.543097689655172,1.54934,0,0.557603,0.329590652985245,261,1.54934,0.523669,0.543097689655172,0.673669,0,0.523669,0.301678696340312,141,0.673669,0.493285,0.502735475177305,0.626124,0.14575,0.510598,0.297249816790617,47,0.626124,0.493285,0.499901255319149,0.626124,0.14575,0.495239,0.283339051262646,23,0.626124,0.467145,0.478630260869565,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.316803,0.100361,0.1982125,0.164635835,270,0.316803,0.1982125,0.201556096296296,0.316803,0.100586,0.200878,0.169436852631579,133,0.316803,0.200878,0.204171,0.280538,0.105638,0.217382,0.183437679411765,68,0.280538,0.217382,0.218661647058824,0.272386,0.128312,0.222528,0.191470104347826,23,0.272386,0.222528,0.22654452173913,0.269336,0.128312,0.232442,0.192515516666667,12,0.269336,0.232442,0.23621475,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,7,2,4,4,7,2,4,4,5,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,1
"13",NA,NA,NA,NA,NA,NA,NA,NA,1.83731,0,0.552384,0.324601506819345,284,1.54934,0.519965,0.537044661971831,1.83731,0,0.552384,0.323125666461311,282,1.54934,0.518108,0.537061872340426,1.83731,0,0.497184,0.288078405736641,140,0.629201,0.480383,0.484265478571429,1.83731,0,0.485392,0.276793712181137,46,0.626124,0.467145,0.473493108695652,1.83731,0,0.477368,0.27102244252048,23,0.576337,0.467145,0.468355956521739,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.316803,0.100361,0.1984295,0.165747129291045,268,0.316803,0.1984295,0.20251697761194,0.316803,0.101311,0.2055795,0.17276905,132,0.316803,0.2055795,0.207859901515152,0.286368,0.114964,0.2211015,0.187972847058824,68,0.286368,0.2211015,0.223354632352941,0.286368,0.128312,0.235095,0.1941322,22,0.286368,0.235095,0.237758181818182,0.286368,0.142133,0.244497,0.19607222,10,0.286368,0.244497,0.2396103,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,7,2,4,4,7,2,4,4,5,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,1
"14",NA,NA,NA,NA,NA,NA,NA,NA,1.83731,0,0.547115,0.321380749408868,308,1.54934,0.5171745,0.532144474025974,1.83731,0,0.536421,0.315668263814028,284,1.04549,0.510598,0.522482330985915,1.83731,0,0.495239,0.284161877432666,142,0.629201,0.477368,0.479884436619718,1.83731,0,0.485392,0.275668646444934,46,0.576337,0.467145,0.471409913043478,0.559332,0.158447,0.536421,0.280515660314745,24,0.559332,0.457104,0.474158916666667,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.316803,0.100361,0.199349,0.166721644382022,267,0.316803,0.199349,0.203464254681648,0.316803,0.105638,0.209011,0.176065507575758,132,0.316803,0.209011,0.211928606060606,0.286368,0.128312,0.223252,0.191173482352941,68,0.286368,0.223252,0.22598925,0.286368,0.135377,0.233603,0.192146923809524,21,0.286368,0.233603,0.230296714285714,0.242224,0.135377,0.226643,0.188578472727273,11,0.242224,0.226643,0.221829818181818,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,NA,NA,NA,NA,NA,7,2,4,4,7,3,4,4,5,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,1
"15",NA,NA,NA,NA,NA,NA,NA,NA,1.83731,0,0.552384,0.310754044923899,334,1.83731,0.518108,0.539138284431138,1.83731,0,0.518108,0.272358336771572,164,1.83731,0.485392,0.502059725609756,1.83731,0,0.567899,0.216439042206562,24,1.83731,0.528239,0.635237625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.316803,0.100586,0.2014165,0.169980760194175,206,0.316803,0.2014165,0.205658203883495,0.286368,0.118903,0.222679,0.190667968831169,77,0.286368,0.222679,0.224968285714286,0.269478,0.118903,0.2162635,0.183161425,8,0.269478,0.2162635,0.2124785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,2,2,2,NA,NA,7,2,4,4,7,2,4,4,7,2,3,3,7,2,3,4,7,4,5,6,7,5,6,6,1
"16",NA,NA,NA,NA,NA,NA,NA,NA,1.83731,0,0.548877,0.308604524605009,358,1.83731,0.514367,0.539841801675978,1.83731,0,0.523669,0.273753054998595,166,1.83731,0.487377,0.518539301204819,1.39106,0,0.501054,0.23096713540935,24,1.19544,0.4481505,0.549632416666667,1.19544,0.0878906,0.485131,0.279341736627393,24,1.19544,0.4481505,0.549632416666667,1.04364,0.107644,0.445996,0.263714696528847,22,1.04364,0.445996,0.490922636363636,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.739866,0.100586,0.203925,0.172435662801932,207,0.739866,0.203925,0.209234173913043,0.739866,0.109607,0.222859,0.192786662337662,77,0.739866,0.222859,0.231403623376623,0.739866,0.109607,0.205138,0.196476923076923,13,0.739866,0.205138,0.251061846153846,0.739866,0.109607,0.2139985,0.20067475,12,0.739866,0.2139985,0.259808416666667,0.739866,0.109607,0.2139985,0.20067475,12,0.739866,0.2139985,0.259808416666667,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,2,2,2,0,0,7,2,4,4,7,2,4,4,7,2,3,4,7,2,4,4,7,5,6,6,6,6,6,6,1
"17",NA,NA,NA,NA,NA,NA,NA,NA,1.83731,0,0.538218,0.302686025149335,382,1.83731,0.506802,0.530525746073298,1.83731,0,0.497184,0.261070035433473,166,1.83731,0.4702345,0.502560536144578,1.19544,0.0878906,0.441623,0.245153360328334,48,1.19544,0.4051485,0.470596833333333,1.04364,0.0878906,0.414573,0.231618382169145,46,1.04364,0.402765,0.439081913043478,0.703125,0.0878906,0.385619,0.207551209146899,24,0.471261,0.383106,0.39156125,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.739866,0.100586,0.2012025,0.171548561538462,208,0.739866,0.2012025,0.207707447115385,0.739866,0.10635,0.219339,0.186067468421053,76,0.739866,0.219339,0.224721486842105,0.739866,0.10635,0.1877735,0.174312075,24,0.739866,0.1877735,0.2178945,0.739866,0.10635,0.191994,0.175538556521739,23,0.739866,0.191994,0.221015869565217,0.214322,0.10635,0.175598,0.148117254545455,11,0.214322,0.175598,0.178696727272727,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,2,2,1,0,NA,7,2,4,4,7,2,4,4,7,2,3,4,7,2,5,5,6,6,6,6,6,6,6,6,1
"18",NA,NA,NA,NA,NA,NA,NA,NA,1.83731,0,0.536421,0.296584729075163,405,1.83731,0.502977,0.524057474074074,1.83731,0,0.485392,0.246350483486429,165,1.83731,0.450305,0.488423575757576,1.19544,0.0761155,0.432788,0.229224251349823,71,1.19544,0.405156,0.453113943661972,0.703125,0.0761155,0.4203605,0.202301580781244,47,0.703125,0.383106,0.403827914893617,0.703125,0.0761155,0.423793,0.197478673619029,23,0.703125,0.405156,0.416627913043478,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.739866,0.0985707,0.200947,0.17131452375,208,0.739866,0.200947,0.207064475961538,0.739866,0.0985707,0.211883,0.17928020961039,77,0.739866,0.211883,0.217976168831169,0.739866,0.0985707,0.182169,0.166044909444444,36,0.739866,0.182169,0.205091888888889,0.215964,0.0985707,0.179168,0.148844206086957,23,0.215964,0.179168,0.179108869565217,0.215964,0.0985707,0.181454,0.149510578333333,12,0.215964,0.181454,0.179486666666667,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,2,2,1,NA,NA,7,2,4,4,7,2,4,4,7,2,3,4,7,3,6,5,6,6,6,6,6,6,6,6,1
"19",NA,NA,NA,NA,NA,NA,NA,NA,1.83731,0,0.529172,0.291171668322163,429,1.83731,0.495239,0.515142524475524,1.83731,0,0.467145,0.234807749826349,165,1.83731,0.428326,0.471177484848485,1.19544,0.0761155,0.406344,0.220509959982163,95,1.19544,0.388114,0.430778484210526,0.703125,0.0761155,0.402765,0.195098855695356,47,0.703125,0.380578,0.390112936170213,0.521822,0.0761155,0.383106,0.193079850505004,24,0.405156,0.362382,0.36470275,0.277947,0.100361,0.194355,0.16085342264574,223,0.277947,0.194355,0.198779708520179,0.739866,0.0961505,0.201444,0.171225634641148,209,0.739866,0.201444,0.207574526315789,0.739866,0.0961505,0.204784,0.173629576842105,76,0.739866,0.204784,0.212876078947368,0.739866,0.0961505,0.184083,0.163380231304348,46,0.739866,0.184083,0.2048525,0.239271,0.0961505,0.184044,0.151221906086957,23,0.239271,0.184044,0.188689130434783,0.239271,0.0961505,0.200913,0.153088809090909,11,0.239271,0.200913,0.198728181818182,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,NA,2,2,0,NA,NA,7,2,4,4,7,2,4,4,7,2,4,4,7,4,6,6,6,6,6,6,6,6,6,6,1
